StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q39,Q40,Q41,Q42,Q43,Check1_1,Check1_2,Check1_3,Check1_4,DT_Ball_A_1,DT_Ball_B_1,DT_Disjunctive_1,Both_Thru_DT,DB_Ball_A_1,DB_Ball_B_1,DB_Disjunctive_1,Both_Thru_DB,A_DarkTop_Left_1,A_DarkTop_Right_1,B_DarkTop_Left_1,B_DarkTop_Right_1,Check2_1,Check2_2,Check2_3,Check2_4,Feedback,Age,Age_1_TEXT,Gender,Race,Race_1_TEXT,Ethnicity,LearnCondition,Condition
2019-05-24 19:03:18,2019-05-24 19:06:05,IP Address,174.104.13.169,100,167,True,2019-05-24 19:06:06,R_1GIGFDi7RxFOjob,,,,,40.8271942138671875,-81.36100006103515625,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 19:08:40,2019-05-24 19:08:54,IP Address,157.50.200.61,100,14,True,2019-05-24 19:08:55,R_u2PZ2eOEgT9vQVb,,,,,10.350006103515625,77.95001220703125,anonymous,EN,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:05:14,2019-05-24 19:09:46,IP Address,71.255.254.182,100,271,True,2019-05-24 19:09:46,R_3D2uRPfusnYv8On,,,,,39.1360931396484375,-77.28240203857421875,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",35,35,100,Ball E did go through the gate because ball A did go through the motion block.,,,,,,50,,,,,,,None. It seem that both balls had an effect on Ball E.,My age in years is,37,Female,I am,asian,Non-Hispanic,1,2
2019-05-24 18:59:24,2019-05-24 19:09:59,IP Address,103.114.211.86,100,635,True,2019-05-24 19:10:00,R_SCaHXrqbeu5TWUh,,,,,10.990997314453125,76.966705322265625,anonymous,EN,Emma,,,,,false,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
2019-05-24 19:05:15,2019-05-24 19:10:06,IP Address,190.167.133.83,100,290,True,2019-05-24 19:10:07,R_1i8X2ysyhaROYYs,,,,,18.4656982421875,-69.8939971923828125,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,100,0,100,Ball E did go through the gate because ball B did go through the motion block.,,,,0,,,,,The visual evidence that I witnessed,My age in years is,29,Male,I am,Hispanic,Hispanic,2,4
2019-05-24 19:09:00,2019-05-24 19:10:39,IP Address,157.50.200.61,100,98,True,2019-05-24 19:10:39,R_3JrbcQ9nBK6R36s,,,,,10.350006103515625,77.95001220703125,anonymous,EN,,,,,james,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,3
2019-05-24 19:10:45,2019-05-24 19:11:03,IP Address,157.50.200.61,100,18,True,2019-05-24 19:11:04,R_DMqUoIaKpDflFcJ,,,,,10.350006103515625,77.95001220703125,anonymous,EN,,benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:10:05,2019-05-24 19:11:13,IP Address,103.114.211.86,100,67,True,2019-05-24 19:11:13,R_31crntjIH6Ubm5X,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 19:08:39,2019-05-24 19:12:06,IP Address,70.229.208.176,100,206,True,2019-05-24 19:12:06,R_PNHNjN52o9JyiTD,,,,,38.000396728515625,-121.3105010986328125,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,89,66,100,Ball E did go through the gate because ball B did go through the motion block.,,,,9,,,,,Because the wording suggests the ball went through something it should have a difficult time going through which says to me that it went through the darker shaded block.,My age in years is,21,Male,I am,White,Non-Hispanic,2,4
2019-05-24 19:08:26,2019-05-24 19:12:55,IP Address,47.223.80.66,100,268,True,2019-05-24 19:12:56,R_1gU6BzGYxi3ttfU,,,,,33.6549072265625,-95.539398193359375,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,87,32,100,Ball E did go through the gate because ball A did go through the motion block.,,79,,,,,,,it was easier for the ball to go through the light red block,My age in years is,39,Male,I am,white,Non-Hispanic,2,2
2019-05-24 19:11:16,2019-05-24 19:17:00,IP Address,68.101.138.220,100,344,True,2019-05-24 19:17:01,R_3Ny8hFsfZubuejJ,,,,,40.1136016845703125,-74.93959808349609375,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,98,18,100,Ball E did go through the gate because ball A did go through the motion block.,,0,,,,,,,"based entirely on the lighter colored red block, despite the fact that both blocks could fail",My age in years is,34,Male,I am,hispanic,Hispanic,2,2
2019-05-24 19:18:18,2019-05-24 19:24:06,IP Address,141.126.131.90,100,347,True,2019-05-24 19:24:06,R_2bOElDmk3E4fpWO,,,,,43.057098388671875,-89.0861968994140625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",89,22,94,Ball E did go through the gate because ball A did go through the motion block.,,,,,22,,,,,,,,"If Ball A got through the block that was more likely to block it, then it was the one that made Ball E go through the gate",My age in years is,27,Female,I am,White,Non-Hispanic,1,1
2019-05-24 19:21:30,2019-05-24 19:25:23,IP Address,69.117.40.138,100,233,True,2019-05-24 19:25:23,R_3hhgUEY9Tt0mXWp,,,,,40.9447021484375,-73.99210357666015625,anonymous,EN,,Benjamin,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,3
2019-05-24 19:27:30,2019-05-24 19:28:32,IP Address,122.174.122.65,100,62,True,2019-05-24 19:28:33,R_2tlG4VIAV0Byok7,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 19:11:10,2019-05-24 19:30:16,IP Address,157.50.200.61,100,1146,True,2019-05-24 19:30:17,R_Re7fW8ZphlPJWPT,,,,,10.350006103515625,77.95001220703125,anonymous,EN,,Benjamin,,,,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,3
2019-05-24 19:30:01,2019-05-24 19:30:27,IP Address,122.174.185.122,100,25,True,2019-05-24 19:30:27,R_w77VZV65sGbezdL,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:28:26,2019-05-24 19:31:55,IP Address,72.201.236.176,100,208,True,2019-05-24 19:31:55,R_3NVOBZTMRQHFzaH,,,,,33.398101806640625,-111.785003662109375,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,88,7,100,Ball E did go through the gate because ball A did go through the motion block.,,,,80,,,,,"The factor that influenced me was where the dark block was located. ",My age in years is,26,Male,I am,White,Non-Hispanic,2,4
2019-05-24 19:28:37,2019-05-24 19:32:01,IP Address,122.174.122.65,100,204,True,2019-05-24 19:32:02,R_SZc31bfA2F6Bdrb,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,,James,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,3
2019-05-24 19:31:53,2019-05-24 19:32:03,IP Address,174.49.163.171,100,9,True,2019-05-24 19:32:03,R_2xW7qzK63Rh6RlU,,,,,40.17779541015625,-77.2328033447265625,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:30:22,2019-05-24 19:32:29,IP Address,157.50.200.61,100,126,True,2019-05-24 19:32:29,R_2f0x2nCpu7k1XjQ,,,,,10.350006103515625,77.95001220703125,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,3
2019-05-24 19:29:37,2019-05-24 19:33:05,IP Address,157.51.96.215,100,208,True,2019-05-24 19:33:06,R_1l5XSLjurucn5CJ,,,,,10.990997314453125,76.966705322265625,anonymous,EN,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:30:21,2019-05-24 19:33:24,IP Address,96.232.36.173,100,182,True,2019-05-24 19:33:24,R_1OIiBcMi17EBzsT,,,,,40.6208038330078125,-74.0426025390625,anonymous,EN,,,,,James,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,64,65,89,Ball E did go through the gate because ball A did go through the motion block.,,91,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",The percentage of blocking that the red block would do,My age in years is,31,Female,I am,asian,Non-Hispanic,2,2
2019-05-24 19:33:11,2019-05-24 19:33:34,IP Address,157.51.96.215,100,23,True,2019-05-24 19:33:35,R_Q9t4lsr8gCLqzHb,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:31:38,2019-05-24 19:34:15,IP Address,174.97.198.32,100,156,True,2019-05-24 19:34:15,R_2EF6CxxqYhnN9ur,,,,,38.211700439453125,-84.5561981201171875,anonymous,EN,,Benjamin,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
2019-05-24 19:32:05,2019-05-24 19:34:20,IP Address,122.174.122.65,100,135,True,2019-05-24 19:34:21,R_12f439aJaNPPpNd,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,85,82,67,Ball E did go through the gate because ball A did go through the motion block.,,,,84,,,,,It is good work and very interesting.,My age in years is,28,Male,I am,Asian,Non-Hispanic,2,4
2019-05-24 19:33:40,2019-05-24 19:34:43,IP Address,157.51.96.215,100,62,True,2019-05-24 19:34:44,R_cwEK6EFVSp74EHD,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,evelyn,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,1
2019-05-24 19:34:52,2019-05-24 19:35:01,IP Address,157.51.96.215,100,8,True,2019-05-24 19:35:02,R_AO1JOjDou7Na3Rv,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:32:20,2019-05-24 19:36:03,IP Address,174.49.163.171,100,223,True,2019-05-24 19:36:04,R_12av562O8VcYRxc,,,,,40.17779541015625,-77.2328033447265625,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",72,41,56,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,46,,,,,the position of the dark block and guessing,My age in years is,37,Female,I am,white,Non-Hispanic,1,4
2019-05-24 19:35:07,2019-05-24 19:37:46,IP Address,157.51.96.215,100,159,True,2019-05-24 19:37:47,R_210zxmrXhEqksT3,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,evelyn,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,74,65,78,Ball E did go through the gate because ball A did go through the motion block.,,75,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",good,My age in years is,30,Female,I am,asian,Non-Hispanic,2,2
2019-05-24 19:04:33,2019-05-24 19:39:41,IP Address,97.81.164.197,100,2108,True,2019-05-24 19:39:42,R_30oV7XUxYk2R9Ds,,,,,36.1819000244140625,-85.44080352783203125,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",7,8,87,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,,91,,,,,Nothing other than choosing by my gut feeling.,My age in years is,49,Female,I am,White,Non-Hispanic,1,4
2019-05-24 19:15:18,2019-05-24 19:42:58,IP Address,23.118.25.216,100,1660,True,2019-05-24 19:42:58,R_1gBzEESzUr4hLc1,,,,,30.1387939453125,-97.2920989990234375,anonymous,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",14,90,99,Ball E did go through the gate because ball B did go through the motion block.,,,,,,,,100,,,,,Which block was on each balls side,My age in years is,35,Female,I am,white,Hispanic,1,4
2019-05-24 19:40:05,2019-05-24 19:44:05,IP Address,104.35.170.65,100,239,True,2019-05-24 19:44:05,R_24GlbNIfu2ryYuq,,,,,34.1483001708984375,-118.0016021728515625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,3
2019-05-24 19:41:28,2019-05-24 19:49:40,IP Address,71.57.99.79,100,492,True,2019-05-24 19:49:40,R_21mmK0iThBtKakC,,,,,41.7073974609375,-87.9756011962890625,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,51,51,100,Ball E did go through the gate because ball B did go through the motion block.,,45,,,,,,,"Seeing as the motion blocks had chances of blocking the balls, it was impossible to the answer any of the previous questions before the animation was played. ",My age in years is,42,Male,I am,one of the whites,Non-Hispanic,2,2
2019-05-24 19:46:54,2019-05-24 19:50:09,IP Address,169.156.16.220,100,194,True,2019-05-24 19:50:09,R_1DYJp1S3QRF8TDw,,,,,39.3361053466796875,-76.53890228271484375,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 19:50:52,2019-05-24 19:51:10,IP Address,156.239.2.145,100,18,True,2019-05-24 19:51:11,R_cUsqA8NAiP3Ou8V,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:51:15,2019-05-24 19:52:27,IP Address,156.239.2.145,100,72,True,2019-05-24 19:52:28,R_1OvIQBKFnt5fwnA,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,,,,james,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,2
2019-05-24 19:42:14,2019-05-24 19:53:17,IP Address,122.164.239.10,100,662,True,2019-05-24 19:53:17,R_6gmXPVq92pfXQQ1,,,,,12.6999969482421875,79.983306884765625,anonymous,EN,,,,,james,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,76,83,66,Ball E did go through the gate because ball A did go through the motion block.,,,,86,,,,,EXTREMELY GOOD ONE.,My age in years is,26,Male,I am,ASIAN,Non-Hispanic,2,4
2019-05-24 19:48:39,2019-05-24 19:55:02,IP Address,172.91.4.169,100,382,True,2019-05-24 19:55:02,R_tFHvvp4sw0F0Qcp,,,,,34.08819580078125,-118.32109832763671875,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,71,24,100,Ball E did go through the gate because ball A did go through the motion block.,,,,81,,,,,"I chose the options of the lighter red block, given that there was a higher probability of that happening...even though, in reality, that isn't a great way of determining, since the event depicts both balls going through. However, since that option was unavailable, I chose the way that I did. ",My age in years is,41,Male,I am,Asian,Non-Hispanic,2,4
2019-05-24 19:57:16,2019-05-24 19:57:54,IP Address,157.51.100.155,100,37,True,2019-05-24 19:57:54,R_bKqaXlN3axFuiiZ,,,,,11.649993896484375,78.16668701171875,anonymous,EN,,,,"it's a beautiful day, isn't it?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:58:01,2019-05-24 19:58:08,IP Address,157.51.100.155,100,7,True,2019-05-24 19:58:09,R_2zPkhaSPmfvYIPX,,,,,11.649993896484375,78.16668701171875,anonymous,EN,,,ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24 19:56:23,2019-05-24 20:00:11,IP Address,103.89.64.26,100,228,True,2019-05-24 20:00:12,R_3gY4l9FWav3wsVJ,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,Ava,,,true,false,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,1
2019-05-24 19:55:04,2019-05-24 20:00:27,IP Address,103.114.211.103,100,322,True,2019-05-24 20:00:27,R_2VQQsDYt8okPfpI,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,James,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",85,27,63,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,81,,,,,,I choose dark red motion block has an 80% chance of blocking a ball.,My age in years is,29,Male,I am,White,Non-Hispanic,1,3
2019-05-24 19:55:10,2019-05-24 20:00:42,IP Address,122.174.189.89,100,331,True,2019-05-24 20:00:42,R_2usv28ea14gE3Nb,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",72,84,77,Ball E did go through the gate because ball B did go through the motion block.,,,,,,73,,,,,,,the factors that influences my decisions are some of the accurate decisions by me.,My age in years is,28,Male,I am,indian,Non-Hispanic,1,2
2019-05-24 19:59:08,2019-05-24 20:03:27,IP Address,122.174.85.187,100,259,True,2019-05-24 20:03:27,R_3fJMQ6ZHKqnUAcp,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 19:56:28,2019-05-24 20:03:29,IP Address,76.107.199.188,100,420,True,2019-05-24 20:03:29,R_24JfCTfDAoCcGaH,,,,,35.2053985595703125,-89.80359649658203125,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,62,6,68,Ball E did go through the gate because ball A did go through the motion block.,,,17,,,,,,"I'm not really sure about all this. The instructions were really confusing. First it says the blocks are fixed then it says it varies. ",My age in years is,29,Female,I am,white,Hispanic,2,3
2019-05-24 19:57:07,2019-05-24 20:04:37,IP Address,72.80.116.107,100,449,True,2019-05-24 20:04:37,R_1QuRjYZ6YGdhDai,,,,,40.5977935791015625,-74.00009918212890625,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",23,76,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,84,,,,,,,,"Ball E would have gone through the gate even if the the ball behind the dark red motion block had not passed. In my mind, it always made more sense to give credit to the ball behind the light red motion block because it had the higher chance of getting through.",My age in years is,32,Male,I am,East Asian,Non-Hispanic,1,1
2019-05-24 19:56:24,2019-05-24 20:04:45,IP Address,103.89.64.26,100,501,True,2019-05-24 20:04:46,R_3fMBj23RH8pBnLU,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,true,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 20:03:30,2019-05-24 20:09:41,IP Address,206.74.105.224,100,371,True,2019-05-24 20:09:42,R_2tDmHtinVzTfBoI,,,,,34.3303985595703125,-82.336700439453125,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",26,76,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,50,,,,,,,,"No other factors. It just seems equally likely to say A or B caused it, since they both did, regardless of whether one surmounted greater odds. ",My age in years is,54,Female,I am,white,Non-Hispanic,1,1
2019-05-24 20:07:00,2019-05-24 20:09:52,IP Address,122.174.85.187,100,172,True,2019-05-24 20:09:53,R_2uPBuNb1Hzb6kEB,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,76,65,83,Ball E did go through the gate because ball A did go through the motion block.,,,,77,,,,,good and interesting,My age in years is,28,Male,Prefer not to say.,,Prefer not to say.,2,4
2019-05-24 19:54:27,2019-05-24 20:11:45,IP Address,110.227.245.180,100,1038,True,2019-05-24 20:11:45,R_9p3W1S7wUoKyKo9,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,Emma,,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,77,61,76,Ball E did go through the gate because ball A did go through the motion block.,,,,38,,,,,good and interesting,My age in years is,28,Male,Prefer not to say.,,Prefer not to say.,2,4
2019-05-24 20:09:06,2019-05-24 20:16:56,IP Address,76.217.129.76,100,470,True,2019-05-24 20:16:57,R_20VbDhoOhdvsQbx,,,,,33.0561981201171875,-117.268798828125,anonymous,EN,,,,Noah,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",1,100,100,Ball E did go through the gate because ball B did go through the motion block.,,,,,,0,,,,,,,I made my choice on what Ben was probably seeing based on the clip that I was shown. I chose the ball that had the least resistant block as the one who made the difference to hitting the E ball through the gate. So I just assumed that other people might view it that way as well.,My age in years is,58,Female,I am,Caucasian,Non-Hispanic,1,2
2019-05-24 20:05:17,2019-05-24 20:29:08,IP Address,103.89.64.26,100,1431,True,2019-05-24 20:29:08,R_339KiCzqX2DD6vq,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,Noah,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,1
2019-05-24 20:29:13,2019-05-24 20:31:54,IP Address,103.89.64.26,100,161,True,2019-05-24 20:31:55,R_3QDJIWTbnMViHTT,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,true,false,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,4
2019-05-24 20:14:10,2019-05-24 20:33:19,IP Address,122.174.175.174,100,1149,True,2019-05-24 20:33:20,R_1eDem0Ac3AZrFtM,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",43,100,79,Ball E did go through the gate because ball A did go through the motion block.,,,,,,,85,,,,,,I watch the ball moves and to give ratings. it is very interesting.,My age in years is,28,Male,I am,Asian,Non-Hispanic,1,3
2019-05-24 20:31:59,2019-05-24 20:34:20,IP Address,103.89.64.26,100,141,True,2019-05-24 20:34:21,R_3e3q0DYwo2dyHxW,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,1
2019-05-24 19:58:45,2019-05-24 20:34:41,IP Address,122.174.180.74,100,2155,True,2019-05-24 20:34:41,R_2qg8qbNKEMeBBhQ,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Benjamin,,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,86,70,81,Ball E did go through the gate because ball A did go through the motion block.,,0,,,,,,,Good move and place. It is good work.,My age in years is,29,Male,I am,Asian,Non-Hispanic,2,2
2019-05-24 20:33:30,2019-05-24 20:35:05,IP Address,122.174.112.179,100,95,True,2019-05-24 20:35:06,R_1dAjHo4rYSk2n33,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,64,74,65,Ball E did go through the gate because ball A did go through the motion block.,,,84,,,,,,it is interesting study.,My age in years is,28,Male,I am,Asian,Non-Hispanic,2,3
2019-05-24 20:34:26,2019-05-24 20:36:14,IP Address,103.89.64.26,100,108,True,2019-05-24 20:36:14,R_3GjP6GvUCxUiU1f,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,Noah,,false,false,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,4
2019-05-24 20:36:20,2019-05-24 20:37:27,IP Address,103.89.64.26,100,67,True,2019-05-24 20:37:28,R_2aXYCymQ2AER0yT,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,,James,false,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,true,"The light red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,2,2
2019-05-24 20:37:39,2019-05-24 20:40:12,IP Address,103.89.64.26,100,152,True,2019-05-24 20:40:12,R_1FfGsgbi1iFoMC3,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,Ava,,,true,true,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,true,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,1,3
2019-05-24 20:40:29,2019-05-24 20:41:36,IP Address,103.89.64.26,100,67,True,2019-05-24 20:41:37,R_brPPM3TnqvYdlzr,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,Noah,,false,false,"The dark red one  ","Yes, they are always at the same top or bottom position in the billiard machine.",,,,,,,,,,,,,false,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,1,2
2019-05-24 20:41:41,2019-05-24 20:42:34,IP Address,103.89.64.26,100,53,True,2019-05-24 20:42:35,R_3QVRVmstekwSyOh,,,,,10.990997314453125,76.966705322265625,anonymous,EN,,,,Noah,,false,true,"The light red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,,,,,,false,false,"The dark red one  ","No, their position (i.e. top or bottom) in the billiard machine can vary.",,,,,,,,2,3
